Datetime,Signal_6H,Conf_6H,ConfGap_6H,Signal_12H,Conf_12H,ConfGap_12H,Signal_1D,Conf_1D,ConfGap_1D,Signal_3D,Conf_3D,ConfGap_3D,Signal_7D,Conf_7D,ConfGap_7D,Ensemble_Decision,Ensemble_Confidence
2025-08-03 01:54:47,ERROR,0.0,0.0,ERROR,0.0,0.0,ERROR,0.0,0.0,ERROR,0.0,0.0,ERROR,0.0,0.0,ERROR,0.0
2025-08-03 02:00:30,SHORT,0.5816,0.1951999962329864,LONG,0.69,0.52,NO TRADE,0.688,0.4413,LONG,0.576,0.1898999959230423,NO TRADE,0.3734,0.0553000010550022,LONG,0.4
2025-08-03 02:02:33,SHORT,0.5816,0.19519999623298645,LONG,0.69,0.52,NO TRADE,0.688,0.4413,LONG,0.576,0.1898999959230423,NO TRADE,0.3734,0.05530000105500221,LONG,0.4
